City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nhulunbuy,-12.23,136.77,89.6,62,100,13.8,AU,1615093226
1,busselton,-33.65,115.33,79.75,50,17,2.64,AU,1615093227
2,port elizabeth,-33.92,25.57,66.2,88,20,17.27,ZA,1615093177
3,sorong,-0.88,131.25,78.89,81,100,9.57,ID,1615093229
4,cabo san lucas,22.89,-109.91,66.2,63,20,8.52,MX,1615093141
5,atuona,-9.8,-139.03,79.59,74,58,13.56,PF,1615093230
6,lorengau,-2.02,147.27,84.27,71,10,5.75,PG,1615093167
7,luderitz,-26.65,15.16,66.47,56,0,12.59,NA,1615093232
8,kahului,20.89,-156.47,73.4,68,40,16.11,US,1615093194
9,arraial do cabo,-22.97,-42.03,74.84,88,100,7.25,BR,1615093233
10,butaritari,3.07,172.79,80.76,79,29,14.29,KI,1615093145
11,chernyshevskiy,63.01,112.47,15.8,97,100,5.68,RU,1615093225
12,albany,42.6,-73.97,23.0,85,2,4.83,US,1615093235
13,nome,64.5,-165.41,17.01,92,90,21.85,US,1615093236
14,rio brilhante,-21.8,-54.55,67.14,93,0,2.82,BR,1615093237
15,hokitika,-42.72,170.97,58.98,77,3,20.67,NZ,1615093238
16,cape town,-33.93,18.42,66.99,88,75,5.75,ZA,1615093239
17,vila franca do campo,37.72,-25.43,60.8,94,75,17.27,PT,1615093240
18,nivala,63.92,24.97,19.0,88,100,5.01,FI,1615093241
19,carnarvon,-24.87,113.63,84.2,79,0,14.97,AU,1615093156
20,wanning,18.8,110.4,80.15,73,44,7.36,CN,1615093242
21,requena,39.49,-1.1,53.6,94,75,2.3,ES,1615093243
22,hidalgo,20.5,-99.0,50.79,81,77,4.9,MX,1615093244
23,bredasdorp,-34.53,20.04,64.4,72,2,6.91,ZA,1615093151
24,barrow,71.29,-156.79,-9.4,70,1,13.8,US,1615093207
25,cuamba,-14.8,36.54,70.0,95,60,2.89,MZ,1615093246
26,eyl,7.98,49.82,76.82,70,20,14.54,SO,1615093247
